route,Empfänger PLZ,Empfänger Ort,Tonnage (eff.),Lademeter,Erloese,dinas_erloese_kg,dlv_soll,dlv_soll_kg,delta_pct,zone_matched,weight_band_matched,Ausgangsbordero,periode
CH-84,8404,,47.0000,0.0000,97.4300,207.2979,51.4100,109.3830,-47.2300,Zone 1,bis 300 kg,2025_24207738,PRE
CH-54,5436,,125.0000,0.0000,127.9100,102.3280,78.1800,62.5440,-38.8800,Zone 2,bis 300 kg,2025_24207738,PRE
CH-83,8302,,1322.0000,0.0000,382.4500,28.9297,301.7000,22.8215,-21.1100,Zone 1,bis 1.500 kg,2025_24207738,PRE
CH-49,4900,,69.0000,0.0000,100.6700,145.8986,54.2500,78.6232,-46.1100,Zone 2,bis 300 kg,2025_24207738,PRE
CH-83,8304,,70.0000,0.0000,97.4300,139.1857,51.4100,73.4429,-47.2300,Zone 1,bis 300 kg,2025_24207801,PRE
CH-90,9015,,41.0000,0.0000,102.3800,249.7073,55.7600,136.0000,-45.5400,Zone 3,bis 300 kg,2025_24207801,PRE
CH-94,9445,,1317.0000,0.0000,488.0000,37.0539,394.3800,29.9453,-19.1800,Zone 4,bis 1.500 kg,2025_24207801,PRE
CH-94,9445,,42.0000,0.0000,104.2700,248.2619,57.4100,136.6905,-44.9400,Zone 4,bis 300 kg,2025_24207959,PRE
CH-83,8304,,348.0000,0.0000,177.5900,51.0316,121.8000,35.0000,-31.4200,Zone 1,bis 500 kg,2025_24207959,PRE
CH-83,8302,,8.0000,0.0000,97.4300,1217.8750,51.4100,642.6250,-47.2300,Zone 1,bis 300 kg,2025_24207959,PRE
CH-83,8302,,203.0000,0.0000,161.2900,79.4532,107.4900,52.9507,-33.3600,Zone 1,bis 300 kg,2025_24207959,PRE
CH-62,6260,,48.0000,0.0000,102.3800,213.2917,55.7600,116.1667,-45.5400,Zone 3,bis 300 kg,2025_24207959,PRE
CH-57,5737,,185.0000,0.0000,127.9100,69.1405,78.1800,42.2595,-38.8800,Zone 2,bis 300 kg,2025_24208113,PRE
CH-62,6260,,99.0000,0.0000,102.3800,103.4141,55.7600,56.3232,-45.5400,Zone 3,bis 300 kg,2025_24208177,PRE
CH-85,8590,,14.0000,0.0000,100.6700,719.0714,54.2500,387.5000,-46.1100,Zone 2,bis 300 kg,2025_24208258,PRE
CH-94,9445,,546.0000,0.0000,271.0000,49.6337,203.8200,37.3297,-24.7900,Zone 4,bis 800 kg,2025_24208258,PRE
CH-83,8304,,42.0000,0.0000,97.4300,231.9762,51.4100,122.4048,-47.2300,Zone 1,bis 300 kg,2025_24208258,PRE
CH-90,9015,,58.0000,0.0000,102.3800,176.5172,55.7600,96.1379,-45.5400,Zone 3,bis 300 kg,2025_24208258,PRE
CH-83,8302,,143.0000,0.0000,120.4900,84.2587,71.6600,50.1119,-40.5300,Zone 1,bis 300 kg,2025_24208258,PRE
CH-36,3612,,28.0000,0.0000,107.5100,383.9643,60.2600,215.2143,-43.9500,Zone 5,bis 300 kg,2025_24208258,PRE
CH-62,6260,,119.0000,0.0000,133.0000,111.7647,82.6400,69.4454,-37.8600,Zone 3,bis 300 kg,2025_24208258,PRE
