route,Empfänger PLZ,Empfänger Ort,Tonnage (eff.),Lademeter,Erloese,dinas_erloese_kg,dlv_soll,dlv_soll_kg,delta_pct,zone_matched,weight_band_matched,Ausgangsbordero,periode
CH-83,8304,,26.0000,0.0000,97.7100,375.8077,51.4100,197.7308,-47.3900,Zone 1,bis 300 kg,2025_24202149,PRE
CH-94,9445,,67.0000,0.0000,104.5800,156.0896,57.4100,85.6866,-45.1000,Zone 4,bis 300 kg,2025_24202231,PRE
CH-62,6260,,67.0000,0.0000,102.6900,153.2687,55.7600,83.2239,-45.7000,Zone 3,bis 300 kg,2025_24202470,PRE
CH-54,5436,,2.0000,0.0000,100.9700,5048.5000,54.2500,2712.5000,-46.2700,Zone 2,bis 300 kg,2025_24202524,PRE
CH-90,9015,,2.0000,0.0000,112.9500,5647.5000,55.7600,2788.0000,-50.6300,Zone 3,bis 300 kg,2025_24202524,PRE
CH-62,6260,,640.0000,0.0000,287.3600,44.9000,217.1400,33.9281,-24.4400,Zone 3,bis 800 kg,2025_24202524,PRE
CH-94,9445,,21.0000,0.0000,104.5800,498.0000,57.4100,273.3810,-45.1000,Zone 4,bis 300 kg,2025_24202524,PRE
CH-54,5436,,466.0000,0.0000,232.6800,49.9313,169.3500,36.3412,-27.2200,Zone 2,bis 500 kg,2025_24202524,PRE
CH-18,1853,,78.0000,0.0000,121.7500,156.0897,72.4200,92.8462,-40.5200,Zone 8,bis 300 kg,2025_24202524,PRE
CH-83,8304,,705.0000,0.0000,280.6600,39.8099,211.2800,29.9688,-24.7200,Zone 1,bis 800 kg,2025_24202524,PRE
CH-94,9445,,50.0000,0.0000,104.5800,209.1600,57.4100,114.8200,-45.1000,Zone 4,bis 300 kg,2025_24202524,PRE
CH-32,3202,,12.0000,0.0000,104.5800,871.5000,57.4100,478.4167,-45.1000,Zone 4,bis 300 kg,2025_24202524,PRE
CH-90,9015,,50.0000,0.0000,102.6900,205.3800,55.7600,111.5200,-45.7000,Zone 3,bis 300 kg,2025_24202524,PRE
CH-89,8902,,296.0000,0.0000,173.0800,58.4730,117.2700,39.6182,-32.2500,Zone 2,bis 300 kg,2025_24202595,PRE
CH-83,8302,,49.0000,0.0000,97.7100,199.4082,51.4100,104.9184,-47.3900,Zone 1,bis 300 kg,2025_24202595,PRE
CH-49,4900,,34.0000,0.0000,100.9700,296.9706,54.2500,159.5588,-46.2700,Zone 2,bis 300 kg,2025_24202595,PRE
CH-62,6260,,97.0000,0.0000,102.6900,105.8660,55.7600,57.4845,-45.7000,Zone 3,bis 300 kg,2025_24202600,PRE
CH-54,5436,,25.0000,0.0000,100.9700,403.8800,54.2500,217.0000,-46.2700,Zone 2,bis 300 kg,2025_24202595,PRE
CH-62,6260,,200.0000,0.0000,133.4500,66.7250,82.6400,41.3200,-38.0700,Zone 3,bis 300 kg,2025_24202656,PRE
CH-90,9015,,83.0000,0.0000,102.6900,123.7229,55.7600,67.1807,-45.7000,Zone 3,bis 300 kg,2025_24202656,PRE
CH-62,6260,,68.0000,0.0000,102.6900,151.0147,55.7600,82.0000,-45.7000,Zone 3,bis 300 kg,2025_24202761,PRE
CH-83,8302,,3.0000,0.0000,97.7100,3257.0000,51.4100,1713.6667,-47.3900,Zone 1,bis 300 kg,2025_24202829,PRE
CH-94,9435,,9.0000,0.0000,115.0300,1278.1111,57.4100,637.8889,-50.0900,Zone 4,bis 300 kg,2025_24202829,PRE
CH-94,9435,,43.0000,0.0000,104.5800,243.2093,57.4100,133.5116,-45.1000,Zone 4,bis 300 kg,2025_24202829,PRE
CH-83,8302,,1581.0000,0.0000,472.5200,29.8874,341.4400,21.5965,-27.7400,Zone 1,bis 1.800 kg,2025_24202829,PRE
CH-94,9445,,59.0000,0.0000,104.5800,177.2542,57.4100,97.3051,-45.1000,Zone 4,bis 300 kg,2025_24202829,PRE
CH-49,4900,,84.0000,0.0000,100.9700,120.2024,54.2500,64.5833,-46.2700,Zone 2,bis 300 kg,2025_24202885,PRE
CH-94,9445,,117.0000,0.0000,140.9100,120.4359,89.1600,76.2051,-36.7300,Zone 4,bis 300 kg,2025_24202885,PRE
CH-83,8304,,171.0000,0.0000,120.8900,70.6959,71.6600,41.9064,-40.7200,Zone 1,bis 300 kg,2025_24202885,PRE
CH-46,4600,,52.0000,0.0000,100.9700,194.1731,54.2500,104.3269,-46.2700,Zone 2,bis 300 kg,2025_24202885,PRE
CH-57,5737,,315.0000,0.0000,193.9100,61.5587,135.4800,43.0095,-30.1300,Zone 2,bis 500 kg,2025_24202938,PRE
CH-62,6260,,252.0000,0.0000,180.7400,71.7222,123.9600,49.1905,-31.4200,Zone 3,bis 300 kg,2025_24202938,PRE
CH-83,8304,,89.0000,0.0000,97.7100,109.7865,51.4100,57.7640,-47.3900,Zone 1,bis 300 kg,2025_24203019,PRE
CH-90,9015,,66.0000,0.0000,102.6900,155.5909,55.7600,84.4848,-45.7000,Zone 3,bis 300 kg,2025_24203019,PRE
CH-89,8902,,18.0000,0.0000,101.0900,561.6111,54.2500,301.3889,-46.3300,Zone 2,bis 300 kg,2025_24203085,PRE
CH-83,8302,,71.0000,0.0000,97.8500,137.8169,51.4100,72.4085,-47.4600,Zone 1,bis 300 kg,2025_24203153,PRE
CH-83,8304,,50.0000,0.0000,97.8500,195.7000,51.4100,102.8200,-47.4600,Zone 1,bis 300 kg,2025_24203153,PRE
CH-89,8964,,12.0000,0.0000,101.0900,842.4167,54.2500,452.0833,-46.3300,Zone 2,bis 300 kg,2025_24203153,PRE
CH-94,9445,,433.0000,0.0000,266.0800,61.4503,198.8000,45.9122,-25.2900,Zone 4,bis 500 kg,2025_24203153,PRE
