Empfänger Land,zone,phase,n_groups,n_positions,basispreis_sum,fracht_sum,delta_sum,fp_mean,fp_std,fp_min,fp_max,n_muster_a,n_muster_b,tonnage_sum,billing_kg_sum
IT,1,in_dlv_2025,16,36,2077.96,2430.69,352.72999999999996,0.19197124467581164,0.2968753431955129,0.0,1.056343737332793,0,0,8538.91,9400
IT,1,in_dlv_2025_fallback,5,13,1809.47,1948.83,139.35999999999999,0.09914901219729724,0.09117480715130352,0.0,0.1992417860151643,0,0,8715.42,9000
IT,2,in_dlv_2025,116,189,12245.99,14121.525,1875.5349999999999,0.12624108010227894,0.29010434657101486,0.0,1.6878702034509403,0,0,29112.4,34500
IT,2,in_dlv_2025_fallback,49,83,7713.179999999999,8755.5776,1042.3976000000007,0.05867894630984617,0.12977364467892744,0.0,0.49241332949198124,0,0,24661.59,27600
IT,3,in_dlv_2025,76,98,6799.94,7341.1997,541.2597,0.0633006119957218,0.18839563214599264,-0.030544186751553792,1.0,0,0,10812.89,14700
IT,3,in_dlv_2025_fallback,43,55,4171.29,4378.5073,207.21730000000005,0.031950953021438355,0.2340502888916191,-0.6673825877111565,0.743005911778081,0,4,6966.8,9100
IT,4,in_dlv_2025,33,48,4389.4,5201.1899,811.7899,0.09125788776510996,0.22503424108017075,0.0,1.0692391769234426,0,0,9176.86,10800
IT,4,in_dlv_2025_fallback,11,14,1259.72,1811.73,552.01,0.15504060696861685,0.3456149412266601,0.0,1.0752090956612648,0,0,2319.21,2900
IT,5,in_dlv_2025,8,9,540.64,592.24,51.599999999999994,0.03594516272848863,0.10166827326467302,0.0,0.28756130182790907,0,0,865.77,1100
IT,5,in_dlv_2025_fallback,6,7,395.08000000000004,395.08000000000004,0.0,0.0,0.0,0.0,0.0,0,0,494.39,800
PT,1,in_dlv_2025,15,16,1193.47,1252.43,58.96,0.06666666666666667,0.2581988897471611,0.0,1.0,0,0,1991.0700000000002,2600
PT,1,in_dlv_2025_fallback,7,7,863.01,863.01,0.0,0.0,0.0,0.0,0.0,0,0,1663.71,2100
PT,2,in_dlv_2025,24,34,2457.74,2842.37,384.63,0.2113939008443038,0.3771315219785205,0.0,1.1450400194033472,0,0,4561.3099999999995,5900
PT,2,in_dlv_2025_fallback,7,9,895.03,989.45,94.42000000000002,0.20428952565746167,0.3857424600940083,0.0,1.0,0,0,2007.52,2300
PT,3,in_dlv_2025,9,14,989.47,1179.06,189.59000000000006,0.19357577932816716,0.33583618885871735,0.0,1.0,0,0,1780.97,2300
PT,3,in_dlv_2025_fallback,6,8,640.4100000000001,722.54,82.13,0.04249583475624267,0.10409311134642531,0.0,0.254975008537456,0,0,1032.79,1500
PT,4,in_dlv_2025,3,3,255.72000000000003,255.72000000000003,0.0,0.0,0.0,0.0,0.0,0,0,211.2,400
