route,gewicht,ldm,ax_erloese_fracht,dlv_soll,delta
0083,7000.0000,13.6000,3375.0000,3439.6200,-64.6200
0083,6000.0000,13.6000,3375.0000,3439.6200,-64.6200
0083,7000.0000,13.6000,3375.0000,3439.6200,-64.6200
0083,7000.0000,13.6000,3505.0000,3569.6200,-64.6200
1069,1140.6000,1.6000,374.0000,380.8224,-6.8224
CHN,520.0000,1.6000,231.1200,,
2321,4440.0000,13.6000,960.0000,1137.7600,-177.7600
2321,4419.0000,13.6000,960.0000,1137.7600,-177.7600
0582,6594.0000,13.6000,920.0000,1015.4300,-95.4300
1069,5284.0000,13.6000,1313.0000,,
0582,6960.0000,13.6000,920.0000,1015.4300,-95.4300
2321,4423.5000,13.6000,960.0000,1137.7600,-177.7600
7048,75.0000,0.2000,94.8000,,
0582,7652.3400,13.6000,920.0000,1015.4300,-95.4300
1403,6000.0000,13.6000,2600.0000,,
3151,500.0000,1.6000,460.0000,460.0000,0.0000
3151,454.3800,0.4000,150.0000,150.0000,0.0000
0083,6000.0000,13.6000,3375.0000,3439.6200,-64.6200
2321,10000.0000,13.6000,960.0000,1137.7600,-177.7600
0083,7000.0000,13.6000,3375.0000,3439.6200,-64.6200
0083,7000.0000,13.6000,3375.0000,3439.6200,-64.6200
2321,4352.5000,13.6000,960.0000,1137.7600,-177.7600
0083,7000.0000,9.6000,2906.1000,2951.7141,-45.6141
0582,6579.0000,13.6000,920.0000,1015.4300,-95.4300
1069,113.0000,0.4000,139.0000,,
5513,155.0000,0.4000,130.0000,,
5513,313.0000,0.4000,79.0000,81.4768,-2.4768
0582,6523.0000,13.6000,920.0000,1015.4300,-95.4300
5513,4499.0000,13.6000,1080.0000,,
4005,1326.3000,4.8000,740.0000,760.4671,-20.4671
1069,4152.4000,2.8000,549.0000,560.9391,-11.9391
2321,1810.0000,3.6000,571.0000,580.9953,-9.9953
0582,4930.0000,13.6000,920.0000,1015.4300,-95.4300
0083,5000.0000,13.6000,3375.0000,3439.6200,-64.6200
0582,9167.0000,13.6000,920.0000,1015.4300,-95.4300
0083,7000.0000,13.6000,3505.0000,3569.6200,-64.6200
2321,4282.5000,13.6000,960.0000,1137.7600,-177.7600
0083,6000.0000,13.6000,3375.0000,3439.6200,-64.6200
0582,6072.0000,13.6000,920.0000,1015.4300,-95.4300
0582,8505.7400,13.6000,920.0000,1015.4300,-95.4300
2520,662.5000,2.0000,545.0000,550.5529,-5.5529
1069,3017.3000,8.8000,1073.0000,,
1069,924.5800,3.2000,587.0000,600.6447,-13.6447
0582,9299.0000,13.6000,920.0000,1015.4300,-95.4300
0083,9000.0000,13.6000,3505.0000,3569.6200,-64.6200
0582,7506.9000,13.6000,920.0000,1015.4300,-95.4300
4005,3125.2100,5.6000,800.0000,823.8782,-23.8782
2321,871.5000,2.8000,543.0000,550.7741,-7.7741
4005,10704.0300,13.6000,1300.0000,1357.9900,-57.9900
5513,4055.4400,12.0000,1190.0000,,
0617,7000.0000,13.6000,3375.0000,3439.6200,-64.6200
0617,5000.0000,6.4000,2256.9000,2287.3094,-30.4094
0582,8461.0000,13.6000,920.0000,1015.4300,-95.4300
0617,8000.0000,13.6000,3325.0000,3325.0000,0.0000
4005,5000.0000,8.0000,965.0000,999.1118,-34.1118
0582,7512.3000,13.6000,920.0000,1015.4300,-95.4300
5513,338.0000,0.4000,79.0000,81.4768,-2.4768
5513,533.0000,0.8000,247.5000,,
4005,10704.0300,13.6000,1300.0000,1357.9900,-57.9900
2321,4343.0000,13.6000,960.0000,1137.7600,-177.7600
0582,7914.0000,13.6000,920.0000,1015.4300,-95.4300
0582,8000.0000,13.6000,920.0000,1015.4300,-95.4300
