rechnung_nr,sendungsnummer,abs_name,leistung_date,empf_land,empf_plz,fracht,diesel,maut,transportversicherung,verzollung,lademittel,gefahrgut,gb_safety_ssd,avisgebuehr,langgutzuschlag,sonstige_nebengeb,GESAMT,sum_kategorien,identitaet_delta,identitaet_ok,coverage_flag
2375138,21113236,SIKA POLYURETHANE,2025-01-22,DE,70499,1575.0000,50.4000,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1678.9000,1678.9000,0.0000,True,full
2375138,21112166,SIKA POLYURETHANE,2025-01-17,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2375138,21111845,SIKA POLYURETHANE,2025-01-20,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2375138,21112983,SIKA POLYURETHANE,2025-01-22,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2375138,21112967,SIKA POLYURETHANE,2025-01-23,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2375138,21112755,SIKA POLYURETHANE,2025-01-21,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2375138,21113272,SIKA POLYURETHANE,2025-01-24,DE,70499,1575.0000,50.4000,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1678.9000,1678.9000,0.0000,True,full
2375138,21113271,SIKA POLYURETHANE,2025-01-24,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2375138,21114048,SIKA POLYURETHANE,2025-01-27,DE,70499,1575.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1676.3400,1676.3400,0.0000,True,full
2375138,21113641,SIKA POLYURETHANE,2025-01-27,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2375138,21113647,SIKA POLYURETHANE,2025-01-28,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2375138,21114059,SIKA POLYURETHANE,2025-01-28,DE,70499,1575.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1676.3400,1676.3400,0.0000,True,full
2375138,21114516,SIKA POLYURETHANE,2025-01-30,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2375138,21114100,SIKA POLYURETHANE,2025-01-29,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2375138,21114298,SIKA POLYURETHANE,2025-01-29,DE,70499,1575.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1676.3400,1676.3400,0.0000,True,full
2375138,21114517,SIKA POLYURETHANE,2025-01-30,DE,70499,1575.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1676.3400,1676.3400,0.0000,True,full
2375138,21114518,SIKA POLYURETHANE,2025-01-31,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2375138,21114542,SIKA POLYURETHANE,2025-01-31,DE,70499,1575.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1676.3400,1676.3400,0.0000,True,full
2376120,21115894,SIKA S.A.U.,2025-02-05,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2376120,21116284,SIKA S.A.U.,2025-02-10,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2376120,21116285,SIKA S.A.U.,2025-02-11,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2376120,21117181,SIKA S.A.U.,2025-02-12,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2376120,21117187,SIKA S.A.U.,2025-02-14,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2376120,21117384,SIKA S.A.U.,2025-02-14,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2376121,21115041,SIKA POLYURETHANE,2025-02-03,DE,70499,1575.0000,50.4000,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1678.9000,1678.9000,0.0000,True,full
2376121,21115617,SIKA POLYURETHANE,2025-02-05,DE,70499,1575.0000,50.4000,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1678.9000,1678.9000,0.0000,True,full
2376121,21115900,SIKA POLYURETHANE,2025-02-06,DE,70499,1575.0000,50.4000,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1678.9000,1678.9000,0.0000,True,full
