leistungsdatum,auftragsnummer,kunde,empf_land,empf_plz,fracht,diesel,maut,transportversicherung,verzollung,lademittel,gefahrgut,gb_safety_ssd,avisgebuehr,langgutzuschlag,sonstige_nebengeb,GESAMT,sum_kategorien,identitaet_delta,identitaet_ok
2025-10-14,7092010006160004,EBM-Papst Mulfingen GmbH & Co. KG,SK,913 04,174.0000,11.1400,1.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,186.2500,186.2500,0.0000,True
2025-10-16,7092010008464001,EBM-Papst Mulfingen GmbH & Co. KG,PT,2615,2475.0000,158.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2633.4000,2633.4000,0.0000,True
2025-10-17,7092010009501002,EBM-Papst Mulfingen GmbH & Co. KG,EE,75306,660.0000,42.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,702.2400,702.2400,0.0000,True
2025-10-17,7092010021991003,EBM-Papst Mulfingen GmbH & Co. KG,IE,H91,2831.3000,181.2000,43.7100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3056.2100,3056.2100,0.0000,True
2025-10-17,7092010009631006,EBM-Papst Mulfingen GmbH & Co. KG,DE,74673,216.0000,13.8200,12.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.5000,249.7000,249.7000,0.0000,True
2025-10-17,7092010021988003,EBM-Papst Mulfingen GmbH & Co. KG,IE,R32 PN8W,3375.0000,216.0000,64.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3655.6200,3655.6200,0.0000,True
2025-10-17,7092010021996008,EBM-Papst Mulfingen GmbH & Co. KG,IE,K32,3375.0000,216.0000,64.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3655.6200,3655.6200,0.0000,True
2025-10-17,7092010009362009,EBM-Papst Mulfingen GmbH & Co. KG,SK,905 01,493.0000,31.5500,7.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,532.3200,532.3200,0.0000,True
2025-10-17,7092010021985002,EBM-Papst Mulfingen GmbH & Co. KG,IE,R32 PN8W,3375.0000,216.0000,64.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3655.6200,3655.6200,0.0000,True
2025-10-17,7092010021989000,EBM-Papst Mulfingen GmbH & Co. KG,IE,R32 PN8W,1567.0000,100.2900,19.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1686.3000,1686.3000,0.0000,True
