auftragsnr,datum,nach_ort,route_key,no_route_match,phase_a,phase_b,ldm,stpl_abrstrecke,n_direct,n_ceil,n_round,n_floor,betrag,exp_26_direct,exp_26_ceil,exp_26_round,exp_26_floor,tariff_26_direct,toll_26_direct,exp_25_direct,exp_25_ceil,dlv_version_a,exp_phase_a,delta_a,dlv_version_b,exp_phase_b,delta_b,ratio_26_direct,muster_a,muster_b
7092010042765003,2026-03-06,Portlaoise,R32,False,in_dlv_2026,in_dlv_2026,13.6000,33.0000,33.0000,33,33,33,3738.0000,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2026,3439.6200,298.3800,2026,3439.6200,298.3800,1.0867,False,False
7092010042770007,2026-03-06,Portlaoise,R32,False,in_dlv_2026,in_dlv_2026,13.6000,33.0000,33.0000,33,33,33,3738.0000,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2026,3439.6200,298.3800,2026,3439.6200,298.3800,1.0867,False,False
7092010043772000,2026-03-13,Portlaoise,R32,False,in_dlv_2026,in_dlv_2026,9.2000,23.0000,23.0000,23,23,22,3015.9500,2770.1135,2770.1135,2770.1135,2696.2129,2726.4000,43.7135,2770.1135,2770.1135,2026,2770.1135,245.8365,2026,2770.1135,245.8365,1.0887,False,False
7092010044350009,2026-03-13,Littleton,E41,False,in_dlv_2026,in_dlv_2026,13.6000,33.0000,33.0000,33,33,33,3738.0000,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,,,2026,3439.6200,298.3800,2026,3439.6200,298.3800,1.0867,False,False
7092010044348006,2026-03-13,Galway,H91,False,in_dlv_2026,in_dlv_2026,13.6000,33.0000,33.0000,33,33,33,3878.5300,3569.6200,3569.6200,3569.6200,3569.6200,3505.0000,64.6200,3569.6200,3569.6200,2026,3569.6200,308.9100,2026,3569.6200,308.9100,1.0865,False,False
7092010043791001,2026-03-13,Portlaoise,R32,False,in_dlv_2026,in_dlv_2026,13.6000,33.0000,33.0000,33,33,33,3738.0000,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2026,3439.6200,298.3800,2026,3439.6200,298.3800,1.0867,False,False
7092010039289000,2026-02-23,Littleton,E41,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3655.6200,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,,,2025,,,2025,,,1.0628,False,False
7092010046499003,2026-03-20,Galway,H91,False,in_dlv_2026,in_dlv_2026,13.6000,33.0000,33.0000,33,33,33,3878.5300,3569.6200,3569.6200,3569.6200,3569.6200,3505.0000,64.6200,3569.6200,3569.6200,2026,3569.6200,308.9100,2026,3569.6200,308.9100,1.0865,False,False
7092010046494008,2026-03-20,Portlaoise,R32,False,in_dlv_2026,in_dlv_2026,13.6000,33.0000,33.0000,33,33,33,3738.0000,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2026,3439.6200,298.3800,2026,3439.6200,298.3800,1.0867,False,False
7092010046497009,2026-03-20,Portlaoise,R32,False,in_dlv_2026,in_dlv_2026,13.6000,33.0000,33.0000,33,33,33,3738.0000,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2026,3439.6200,298.3800,2026,3439.6200,298.3800,1.0867,False,False
7092010046498006,2026-03-20,Portlaoise,R32,False,in_dlv_2026,in_dlv_2026,13.6000,33.0000,33.0000,33,33,33,3738.0000,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2026,3439.6200,298.3800,2026,3439.6200,298.3800,1.0867,False,False
7092010046500006,2026-03-23,Littleton,E41,False,in_dlv_2026,in_dlv_2026,13.6000,33.0000,33.0000,33,33,33,3738.0000,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,,,2026,3439.6200,298.3800,2026,3439.6200,298.3800,1.0867,False,False
7092010047241007,2026-03-27,Portlaoise,R32,False,in_dlv_2026,in_dlv_2026,8.0000,20.0000,20.0000,20,20,20,2776.8600,2548.5118,2548.5118,2548.5118,2548.5118,2510.5000,38.0118,2548.5118,2548.5118,2026,2548.5118,228.3482,2026,2548.5118,228.3482,1.0896,False,False
7092010048404005,2026-03-27,Portlaoise,R32,False,in_dlv_2026,in_dlv_2026,13.6000,33.0000,33.0000,33,33,33,3738.0000,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2026,3439.6200,298.3800,2026,3439.6200,298.3800,1.0867,False,False
7092010048360004,2026-04-01,Littleton,E41,False,in_dlv_2026,in_dlv_2026,13.6000,33.0000,33.0000,33,33,33,3758.2500,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,,,2026,3439.6200,318.6300,2026,3439.6200,318.6300,1.0926,False,False
7092010048365009,2026-04-02,Galway,H91,False,in_dlv_2026,in_dlv_2026,11.2000,28.0000,28.0000,28,28,27,3562.0600,3258.2165,3258.2165,3258.2165,3181.6159,3205.0000,53.2165,3258.2165,3258.2165,2026,3258.2165,303.8435,2026,3258.2165,303.8435,1.0933,False,False
7092010048363005,2026-04-02,Portlaoise,R32,False,in_dlv_2026,in_dlv_2026,13.6000,33.0000,33.0000,33,33,33,3758.2500,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2026,3439.6200,318.6300,2026,3439.6200,318.6300,1.0926,False,False
7092010049103006,2026-03-27,Galway,H91,False,in_dlv_2026,in_dlv_2026,13.6000,33.0000,33.0000,33,33,33,3878.5300,3569.6200,3569.6200,3569.6200,3569.6200,3505.0000,64.6200,3569.6200,3569.6200,2026,3569.6200,308.9100,2026,3569.6200,308.9100,1.0865,False,False
7092010048411003,2026-03-27,Portlaoise,R32,False,in_dlv_2026,in_dlv_2026,13.6000,33.0000,33.0000,33,33,33,3738.0000,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2026,3439.6200,298.3800,2026,3439.6200,298.3800,1.0867,False,False
7092010049923000,2026-04-13,Galway,H91,False,in_dlv_2026,in_dlv_2026,7.6000,19.0000,19.0000,19,19,18,2813.7200,2568.4112,2568.4112,2568.4112,2491.8106,2532.3000,36.1112,2568.4112,2568.4112,2026,2568.4112,245.3088,2026,2568.4112,245.3088,1.0955,False,False
7092010049911007,2026-04-13,Portlaoise,R32,False,in_dlv_2026,in_dlv_2026,2.8000,7.0000,7.0000,7,7,6,1381.0700,1271.6041,1271.6041,1271.6041,1186.7035,1258.3000,13.3041,1271.6041,1271.6041,2026,1271.6041,109.4659,2026,1271.6041,109.4659,1.0861,False,False
7092010049914008,2026-04-13,Littleton,E41,False,in_dlv_2026,in_dlv_2026,13.6000,33.0000,33.0000,33,33,33,3758.2500,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,,,2026,3439.6200,318.6300,2026,3439.6200,318.6300,1.0926,False,False
7092010049899008,2026-04-13,Portlaoise,R32,False,in_dlv_2026,in_dlv_2026,13.6000,33.0000,33.0000,33,33,33,3758.2500,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2026,3439.6200,318.6300,2026,3439.6200,318.6300,1.0926,False,False
7092010049903002,2026-04-13,Portlaoise,R32,False,in_dlv_2026,in_dlv_2026,13.6000,33.0000,33.0000,33,33,33,3758.2500,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2026,3439.6200,318.6300,2026,3439.6200,318.6300,1.0926,False,False
7092010050929008,2026-04-13,Portlaoise,R32,False,in_dlv_2026,in_dlv_2026,13.6000,33.0000,33.0000,33,33,33,3758.2500,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2026,3439.6200,318.6300,2026,3439.6200,318.6300,1.0926,False,False
