auftragsnr,datum,nach_ort,route_key,no_route_match,phase_a,phase_b,ldm,stpl_abrstrecke,n_direct,n_ceil,n_round,n_floor,betrag,exp_26_direct,exp_26_ceil,exp_26_round,exp_26_floor,tariff_26_direct,toll_26_direct,exp_25_direct,exp_25_ceil,dlv_version_a,exp_phase_a,delta_a,dlv_version_b,exp_phase_b,delta_b,ratio_26_direct,muster_a,muster_b
7092010018034003,2025-10-24,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,34.0000,33.0000,33,33,33,3655.6200,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,216.0000,2025,3439.6200,216.0000,1.0628,False,False
7092010018032009,2025-10-24,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,34.0000,33.0000,33,33,33,3655.6200,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,216.0000,2025,3439.6200,216.0000,1.0628,False,False
7092010018518008,2025-11-14,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,2.4000,6.0000,6.0000,6,6,5,1254.8700,1186.7035,1186.7035,1186.7035,976.5029,1175.3000,11.4035,1186.7035,1186.7035,2025,1186.7035,68.1665,2025,1186.7035,68.1665,1.0574,False,False
7092010018507002,2025-11-14,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,34.0000,33.0000,33,33,33,3635.3700,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,195.7500,2025,3439.6200,195.7500,1.0569,False,False
7092010018524009,2025-11-14,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,34.0000,33.0000,33,33,33,3635.3700,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,195.7500,2025,3439.6200,195.7500,1.0569,False,False
7092010018521008,2025-11-14,Galway,H91,False,in_dlv_2025,in_dlv_2025,10.8000,27.0000,27.0000,27,27,27,3363.1800,3181.6159,3181.6159,3181.6159,3181.6159,3130.3000,51.3159,3181.6159,3181.6159,2025,3181.6159,181.5641,2025,3181.6159,181.5641,1.0571,False,False
7092010018512006,2025-11-14,Rathmullan,F92,False,in_dlv_2025,in_dlv_2025,13.6000,34.0000,33.0000,33,33,33,3582.4700,3387.7194,3387.7194,3387.7194,3387.7194,3325.0000,62.7194,,,2025,,,2025,,,1.0575,False,False
7092010020116001,2025-11-21,Galway,H91,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3772.9100,3569.6200,3569.6200,3569.6200,3569.6200,3505.0000,64.6200,3569.6200,3569.6200,2025,3569.6200,203.2900,2025,3569.6200,203.2900,1.0570,False,False
7092010020106002,2025-11-21,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3635.3700,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,195.7500,2025,3439.6200,195.7500,1.0569,False,False
7092010020098000,2025-11-21,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3635.3700,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,195.7500,2025,3439.6200,195.7500,1.0569,False,False
7092010020108006,2025-11-21,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3635.3700,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,195.7500,2025,3439.6200,195.7500,1.0569,False,False
7092010020112003,2025-11-24,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3635.3700,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,195.7500,2025,3439.6200,195.7500,1.0569,False,False
7092010021460004,2025-11-28,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3635.3700,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,195.7500,2025,3439.6200,195.7500,1.0569,False,False
7092010021466006,2025-11-28,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3635.3700,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,195.7500,2025,3439.6200,195.7500,1.0569,False,False
7092010021463005,2025-11-28,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3635.3700,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,195.7500,2025,3439.6200,195.7500,1.0569,False,False
7092010021458001,2025-11-28,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3635.3700,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,195.7500,2025,3439.6200,195.7500,1.0569,False,False
7092010021489005,2025-11-28,Galway,H91,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3772.9100,3569.6200,3569.6200,3569.6200,3569.6200,3505.0000,64.6200,3569.6200,3569.6200,2025,3569.6200,203.2900,2025,3569.6200,203.2900,1.0570,False,False
7092010021996008,2025-10-17,Dublin,D12,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3655.6200,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,216.0000,2025,3439.6200,216.0000,1.0628,False,False
7092010021988003,2025-10-17,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3655.6200,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,216.0000,2025,3439.6200,216.0000,1.0628,False,False
7092010021985002,2025-10-17,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3655.6200,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,216.0000,2025,3439.6200,216.0000,1.0628,False,False
7092010021991003,2025-10-17,Galway,H91,False,in_dlv_2025,in_dlv_2025,9.2000,23.0000,23.0000,23,23,22,3056.2100,2875.0135,2875.0135,2875.0135,2798.4129,2831.3000,43.7135,2875.0135,2875.0135,2025,2875.0135,181.1965,2025,2875.0135,181.1965,1.0630,False,False
7092010021989000,2025-10-17,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,4.0000,10.0000,10.0000,10,10,10,1686.3000,1586.0059,1586.0059,1586.0059,1586.0059,1567.0000,19.0059,1586.0059,1586.0059,2025,1586.0059,100.2941,2025,1586.0059,100.2941,1.0632,False,False
7092010023255004,2025-12-05,Galway,H91,False,in_dlv_2025,in_dlv_2025,9.6000,24.0000,24.0000,24,24,23,3137.7000,2951.7141,2951.7141,2951.7141,2875.0135,2906.1000,45.6141,2951.7141,2951.7141,2025,2951.7141,185.9859,2025,2951.7141,185.9859,1.0630,False,False
7092010023537001,2025-12-05,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3655.6200,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,216.0000,2025,3439.6200,216.0000,1.0628,False,False
