system;invoice;datum;dest;postcode;postcode_area;kg;ldm;fracht;diesel;lsz;ausfuhr;ssd;total_shipment
DINAS;RECHNUNG03767006.pdf;23.05.25;GB-CV5 9PF;CV5;CV;600.0;0.4;154.55;0;0.9;15.0;15.0;185.45000000000002
DINAS;RECHNUNG03767006.pdf;22.05.25;GB-RG14 5 NEWBURY;RG14;RG;150.0;0.1;60.25;0;0.0;15.0;15.0;90.25
DINAS;RECHNUNG03767006.pdf;28.05.25;GB-CV5 9PF;CV5;CV;600.0;0.4;154.55;0;0.9;15.0;15.0;185.45000000000002
DINAS;RECHNUNG03767006.pdf;28.05.25;GB-LE42B;LE42;LE;2400.0;1.6;464.9;0;3.6;15.0;15.0;498.5
DINAS;RECHNUNG03767006.pdf;28.05.25;GB-CV5 9PF;CV5;CV;600.0;0.4;154.55;0;0.9;15.0;15.0;185.45000000000002
DINAS;RECHNUNG03767006.pdf;30.05.25;GB-SN3 4DB;SN3;SN;600.0;0.4;154.55;0;0.9;15.0;15.0;185.45000000000002
DINAS;RECHNUNG03767009.pdf;23.05.25;GB-CV5 9PF;CV5;CV;600.0;0.4;154.55;0;0.6;15.0;15.0;185.15
DINAS;RECHNUNG03767034.pdf;15.05.25;GB-PE25 3SN;PE25;PE;7800.0;5.2;1041.08;0;0.0;0.0;15.0;1056.08
DINAS;RECHNUNG03767034.pdf;16.05.25;GB-PE25 3SN;PE25;PE;7800.0;5.2;1041.07;0;0.0;0.0;15.0;1056.07
DINAS;RECHNUNG03767034.pdf;14.05.25;GB-EX14 1SD;EX14;EX;6000.0;4.0;829.58;0;0.0;0.0;15.0;844.58
DINAS;RECHNUNG03767034.pdf;15.05.25;GB-EX14 1SD;EX14;EX;8400.0;5.6;1161.42;0;0.0;0.0;15.0;1176.42
DINAS;RECHNUNG03767034.pdf;19.05.25;GB-PE25 3SN;PE25;PE;0.0;0.0;1138.05;0;0.0;0.0;15.0;1153.05
DINAS;RECHNUNG03767034.pdf;20.05.25;GB-CT20 3 FOLKESTONE;CT20;CT;7200.0;4.8;1206.95;0;0.0;0.0;15.0;1221.95
DINAS;RECHNUNG03767034.pdf;20.05.25;GB-NN9 6NY;NN9;NN;0.0;0.0;2540.95;0;0.0;0.0;15.0;2555.95
DINAS;RECHNUNG03767034.pdf;21.05.25;GB-BA3 4BS;BA3;BA;6167.0;4.1;806.72;0;0.0;0.0;15.0;821.72
DINAS;RECHNUNG03767034.pdf;21.05.25;GB-BA3 4BS;BA3;BA;13500.0;9.0;1765.98;0;0.0;0.0;15.0;1780.98
DINAS;RECHNUNG03767175.pdf;08.05.25;GB-RH12N;RH12;RH;150.0;0.1;67.75;0;0.0;0.0;15.0;82.75
DINAS;RECHNUNG03767175.pdf;19.05.25;GB-DE55 4NL;DE55;DE;150.0;0.1;70.0;0;0.0;0.0;15.0;85.0
DINAS;RECHNUNG03767183.pdf;19.05.25;GB-DE53R;DE53;DE;0.0;0.0;383.37;0;0.0;0.0;15.0;398.37
DINAS;RECHNUNG03767183.pdf;20.05.25;GB-DE53R;DE53;DE;0.0;0.0;2332.38;0;0.0;0.0;15.0;2347.38
